INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	64	Bhutan	M	Male	SEX	M	Male	90.45098484	27.39598568	1.0	4	Country or Area	Central and Southern Asia	[2010, 2018]	2010	2018	2	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	68	Bolivia (Plurinational State of)	F	Female	SEX	F	Female	-64.66224284	-16.71273412	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	68	Bolivia (Plurinational State of)	M	Male	SEX	M	Male	-64.66224284	-16.71273412	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	70	Bosnia and Herzegovina	F	Female	SEX	F	Female	17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	70	Bosnia and Herzegovina	M	Male	SEX	M	Male	17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	72	Botswana	F	Female	SEX	F	Female	23.81380223	-22.18810073	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	72	Botswana	M	Male	SEX	M	Male	23.81380223	-22.18810073	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	84	Belize	F	Female	SEX	F	Female	-88.70199554	17.19965901	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	84	Belize	M	Male	SEX	M	Male	-88.70199554	17.19965901	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	100	Bulgaria	F	Female	SEX	F	Female	25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	100	Bulgaria	M	Male	SEX	M	Male	25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	104	Myanmar	F	Female	SEX	F	Female	96.51752295	21.19332882	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	104	Myanmar	M	Male	SEX	M	Male	96.51752295	21.19332882	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	108	Burundi	F	Female	SEX	F	Female	29.89080992	-3.366387428	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	108	Burundi	M	Male	SEX	M	Male	29.89080992	-3.366387428	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	112	Belarus	F	Female	SEX	F	Female	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	112	Belarus	M	Male	SEX	M	Male	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	116	Cambodia	F	Female	SEX	F	Female	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	116	Cambodia	M	Male	SEX	M	Male	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	120	Cameroon	F	Female	SEX	F	Female	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	120	Cameroon	M	Male	SEX	M	Male	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	132	Cabo Verde	F	Female	SEX	F	Female	-23.63544151	15.07791834	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	132	Cabo Verde	M	Male	SEX	M	Male	-23.63544151	15.07791834	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	140	Central African Republic	F	Female	SEX	F	Female	20.93559492	7.003720791	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	140	Central African Republic	M	Male	SEX	M	Male	20.93559492	7.003720791	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	144	Sri Lanka	F	Female	SEX	F	Female	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	144	Sri Lanka	M	Male	SEX	M	Male	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	148	Chad	F	Female	SEX	F	Female	18.66618401	15.36279341	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	148	Chad	M	Male	SEX	M	Male	18.66618401	15.36279341	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	152	Chile	F	Female	SEX	F	Female	-71.23029019	-35.2652885	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	152	Chile	M	Male	SEX	M	Male	-71.23029019	-35.2652885	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	170	Colombia	F	Female	SEX	F	Female	-73.07446751	3.888209046	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	170	Colombia	M	Male	SEX	M	Male	-73.07446751	3.888209046	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	174	Comoros	F	Female	SEX	F	Female	43.34234565	-11.66121732	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	174	Comoros	M	Male	SEX	M	Male	43.34234565	-11.66121732	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	178	Congo	F	Female	SEX	F	Female	15.22052612	-0.840544119	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	178	Congo	M	Male	SEX	M	Male	15.22052612	-0.840544119	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	180	Democratic Republic of the Congo	F	Female	SEX	F	Female	23.65496507	-2.877154732	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	180	Democratic Republic of the Congo	M	Male	SEX	M	Male	23.65496507	-2.877154732	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	188	Costa Rica	F	Female	SEX	F	Female	-84.19712782	9.970998683	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	188	Costa Rica	M	Male	SEX	M	Male	-84.19712782	9.970998683	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	191	Croatia	F	Female	SEX	F	Female	17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	191	Croatia	M	Male	SEX	M	Male	17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	192	Cuba	F	Female	SEX	F	Female	-79.54460144	22.10030366	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	192	Cuba	M	Male	SEX	M	Male	-79.54460144	22.10030366	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	203	Czechia	F	Female	SEX	F	Female	15.33151382	49.73913871	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	203	Czechia	M	Male	SEX	M	Male	15.33151382	49.73913871	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	204	Benin	F	Female	SEX	F	Female	2.339933594	9.65401646	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	204	Benin	M	Male	SEX	M	Male	2.339933594	9.65401646	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	208	Denmark	F	Female	SEX	F	Female	9.326571283	56.03829721	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	208	Denmark	M	Male	SEX	M	Male	9.326571283	56.03829721	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	214	Dominican Republic	F	Female	SEX	F	Female	-70.49847576	18.89832088	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	214	Dominican Republic	M	Male	SEX	M	Male	-70.49847576	18.89832088	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	218	Ecuador	F	Female	SEX	F	Female	-78.37005241	-1.447785891	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	218	Ecuador	M	Male	SEX	M	Male	-78.37005241	-1.447785891	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	222	El Salvador	F	Female	SEX	F	Female	-88.86862995	13.73603564	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	222	El Salvador	M	Male	SEX	M	Male	-88.86862995	13.73603564	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	226	Equatorial Guinea	F	Female	SEX	F	Female	10.46535826	1.565792376	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	226	Equatorial Guinea	M	Male	SEX	M	Male	10.46535826	1.565792376	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	231	Ethiopia	F	Female	SEX	F	Female	39.63505296	8.631223181	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	231	Ethiopia	M	Male	SEX	M	Male	39.63505296	8.631223181	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	232	Eritrea	F	Female	SEX	F	Female	38.11074289	16.12894644	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	232	Eritrea	M	Male	SEX	M	Male	38.11074289	16.12894644	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	233	Estonia	F	Female	SEX	F	Female	25.84093481	58.68487172	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	233	Estonia	M	Male	SEX	M	Male	25.84093481	58.68487172	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	246	Finland	F	Female	SEX	F	Female	23.308447	61.91586738	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	246	Finland	M	Male	SEX	M	Male	23.308447	61.91586738	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	250	France	F	Female	SEX	F	Female	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	250	France	M	Male	SEX	M	Male	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	262	Djibouti	F	Female	SEX	F	Female	42.18274707	11.56004161	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	262	Djibouti	M	Male	SEX	M	Male	42.18274707	11.56004161	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	266	Gabon	F	Female	SEX	F	Female	11.78727747	-0.60687619	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	266	Gabon	M	Male	SEX	M	Male	11.78727747	-0.60687619	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	268	Georgia	F	Female	SEX	F	Female	43.3713615	42.04813028	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	268	Georgia	M	Male	SEX	M	Male	43.3713615	42.04813028	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	270	Gambia	F	Female	SEX	F	Female	-15.39944785	13.45295927	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	270	Gambia	M	Male	SEX	M	Male	-15.39944785	13.45295927	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	276	Germany	F	Female	SEX	F	Female	10.3806066	51.08862743	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	276	Germany	M	Male	SEX	M	Male	10.3806066	51.08862743	1.0	4	Country or Area	Europe and Northern America	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	288	Ghana	F	Female	SEX	F	Female	-1.205623522	7.964825185	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
III.9	121f0e02	Access to anti-retroviral drug, by sex	121f0e02	Access to anti-retroviral drug, by sex	288	Ghana	M	Male	SEX	M	Male	-1.205623522	7.964825185	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010, 2018]	2000	2018	3	1	2
